Time,Key
22:13:44,i
22:13:46,a
22:13:46,m
22:13:46, 
22:13:47,m
22:13:47,a
22:13:47,n
22:13:47,i
22:13:48,k
22:13:48,a
22:13:48,r
22:13:49,a
22:13:49,n
22:13:49, 
22:13:50,f
22:13:51,r
22:13:51,o
22:13:51,m
22:13:51,[Caps_Lock]
22:13:52, 
22:13:52,D
22:13:52,I
22:13:53,O
22:13:53,N
22:13:53,3
22:13:53,E
22:13:53,C
22:13:53,U
22:13:53,R
22:13:53,C
22:13:53,I
22:13:53,3
22:13:54,O
22:13:54,R
22:13:54, 
22:13:56,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:13:57,[Win_L]
22:14:04,[Win_L]
22:14:04,[Shift_L]
